"year","estimate","std_error","p_value","ci_low","ci_high"
2010,-2.69183908742571,4.31934230347567,0.533227605032218,-11.157750002238,5.77407182738659
2011,-2.47190355032949,4.96790407503865,0.618844089775948,-12.2089955374052,7.26518843674626
2012,-1.58741628907119,3.85345571771133,0.680427530145334,-9.14018949578539,5.96535691764301
2013,0.524085872835155,4.42698092079236,0.905776115497249,-8.15279673191786,9.20096847758817
2014,-1.97505245305889,3.40464045651696,0.561915125339254,-8.64814774783213,4.69804284171434
2016,3.35689031058136,3.40404198040095,0.324191770819792,-3.3150319710045,10.0288125921672
2017,5.53085569568317,4.29236128009088,0.19772418311757,-2.88217241329495,13.9438838046613
2018,11.7604008041585,4.41434160764966,0.00778698078012275,3.10829125316517,20.4125103551518
2019,6.08254739314715,5.04665708170481,0.228259030221038,-3.80890048699428,15.9739952732886
2020,11.0125211045222,5.03315869517087,0.0287971594010107,1.1475300619873,20.8775121470571
2021,9.92702928122808,6.93664488126034,0.152573841891311,-3.66879468604219,23.5228532484983
2022,10.8371114208416,6.3693911966068,0.0890324207881314,-1.64689532450771,23.3211181661909
