"model","estimate","std_error","p_value","n_obs"
"DD within TI=1 (Gold x Post2016)",11.3221837080389,3.15994478541908,0.000399306390963383,3274
"DD within TI=0 (Gold x Post2016)",2.52054937975579,1.33322388272901,0.0588709513462766,14250
"DD within Gold=1 (TI x Post2016)",8.56080263350352,3.21871945932512,0.00819943482461007,3353
"DD within Gold=0 (TI x Post2016)",-0.137987903092808,1.13302828214413,0.903084369020883,14171
"DDD main (Gold x TI x Post2016)",8.7689642718583,3.41866510294172,0.0103965157908497,17524
