"year","estimate","std_error","p_value","ci_low","ci_high"
2010,-2.97688862396102,4.1675423430267,0.47513154602005,-11.1452716162933,5.19149436837131
2011,-3.9253469164521,4.57770869077431,0.391286383012908,-12.8976559503697,5.04696211746555
2012,-1.25694198285002,3.92481762958161,0.748811970353453,-8.94958453682998,6.43570057112994
2013,0.684055416062787,3.88130553441055,0.860122188527473,-6.92330343138189,8.29141426350746
2014,-1.41564936089015,3.23904654392494,0.662121662924053,-7.76418058698303,4.93288186520272
2016,2.93949097599214,3.30558173098507,0.373986119761863,-3.53944921673859,9.41843116872287
2017,3.67739121834234,4.37686907677609,0.400913798614839,-4.90127217213881,12.2560546088235
2018,13.4808830144875,4.47086481631761,0.00260306602805258,4.71798797450495,22.24377805447
2019,4.80820880598862,4.67976980054354,0.304347526842649,-4.36414000307673,13.980557615054
2020,9.43905255503701,4.90322732530798,0.0543767128947008,-0.171273002566625,19.0493781126407
2021,8.26546236973297,6.2669877715948,0.187372449678847,-4.01783366259285,20.5487584020588
2022,8.54274591568907,5.65325210884013,0.130931698397517,-2.53762821763759,19.6231200490157
