"check","estimate","std_error","p_value"
"Main DDD (Post2016, muni+year FE)",8.7689642718583,3.41866510294172,0.0103965157908497
"Robustness DDD (Post2017, muni+year FE)",8.80599985510306,3.54955741409865,0.0131960766486291
"Main DDD (Post2016, muni+state-year FE)",9.71119752144792,3.4703380883374,0.00519081936813245
"Population-weighted DDD (Post2016, muni+year FE)",9.65195203527498,3.95753663850929,0.0148281252656506
"Population-weighted DDD (Post2016, muni+state-year FE)",7.43638586593137,3.67016086895526,0.0428929237016554
"Placebo fake post>=2013 (pre-period only, muni+state-year FE)",1.92189636299628,2.5371810221477,0.448864976485179
"Placebo fake post>=2014 (pre-period only, muni+state-year FE)",-0.125372961810811,2.46037655055107,0.95936621924404
